,Tair,rh
0,52.30000000000039,0.5
1,52.100000000000385,1.0
2,52.000000000000384,1.5
3,51.90000000000038,2.0
4,51.80000000000038,2.5
5,51.70000000000038,3.0
6,51.60000000000038,3.5
7,51.400000000000375,4.0
8,51.300000000000374,4.5
9,51.20000000000037,5.0
10,51.00000000000037,5.5
11,50.600000000000364,6.0
12,50.30000000000036,6.5
13,50.000000000000355,7.0
14,49.70000000000035,7.5
15,49.40000000000035,8.0
16,49.10000000000034,8.5
17,48.80000000000034,9.0
18,48.600000000000335,9.5
19,48.30000000000033,10.0
20,48.00000000000033,10.5
21,47.800000000000324,11.0
22,47.50000000000032,11.5
23,47.30000000000032,12.0
24,47.100000000000314,12.5
25,46.80000000000031,13.0
26,46.60000000000031,13.5
27,46.400000000000304,14.0
28,46.1000000000003,14.5
29,45.9000000000003,15.0
30,45.700000000000294,15.5
31,45.50000000000029,16.0
32,45.30000000000029,16.5
33,45.100000000000286,17.0
34,44.90000000000028,17.5
35,44.70000000000028,18.0
36,44.50000000000028,18.5
37,44.300000000000274,19.0
38,44.10000000000027,19.5
39,44.00000000000027,20.0
40,43.80000000000027,20.5
41,43.600000000000264,21.0
42,43.40000000000026,21.5
43,43.30000000000026,22.0
44,43.10000000000026,22.5
45,42.900000000000254,23.0
46,42.80000000000025,23.5
47,42.60000000000025,24.0
48,42.40000000000025,24.5
49,42.300000000000246,25.0
50,42.10000000000024,25.5
51,42.00000000000024,26.0
52,41.80000000000024,26.5
53,41.70000000000024,27.0
54,41.500000000000234,27.5
55,41.40000000000023,28.0
56,41.20000000000023,28.5
57,41.10000000000023,29.0
58,40.900000000000226,29.5
59,40.800000000000225,30.0
60,40.70000000000022,30.5
61,40.50000000000022,31.0
62,40.40000000000022,31.5
63,40.30000000000022,32.0
64,40.100000000000215,32.5
65,40.00000000000021,33.0
66,39.90000000000021,33.5
67,39.80000000000021,34.0
68,39.60000000000021,34.5
69,39.500000000000206,35.0
70,39.400000000000205,35.5
71,39.3000000000002,36.0
72,39.1000000000002,36.5
73,39.0000000000002,37.0
74,38.9000000000002,37.5
75,38.800000000000196,38.0
76,38.700000000000195,38.5
77,38.60000000000019,39.0
78,38.40000000000019,39.5
79,38.30000000000019,40.0
80,38.20000000000019,40.5
81,38.100000000000186,41.0
82,38.000000000000185,41.5
83,37.90000000000018,42.0
84,37.80000000000018,42.5
85,37.70000000000018,43.0
86,37.60000000000018,43.5
87,37.50000000000018,44.0
88,37.400000000000176,44.5
89,37.300000000000175,45.0
90,37.20000000000017,45.5
91,37.10000000000017,46.0
92,37.00000000000017,46.5
93,36.90000000000017,47.0
94,36.80000000000017,47.5
95,36.700000000000166,48.0
96,36.600000000000165,48.5
97,36.50000000000016,49.0
98,36.40000000000016,49.5
99,36.30000000000016,50.0
100,36.20000000000016,50.5
101,36.10000000000016,51.0
102,36.000000000000156,51.5
103,35.900000000000155,52.0
104,35.80000000000015,52.5
105,35.70000000000015,53.0
106,35.60000000000015,53.5
107,35.50000000000015,54.0
108,35.50000000000015,54.5
109,35.40000000000015,55.0
110,35.300000000000146,55.5
111,35.200000000000145,56.0
112,35.10000000000014,56.5
113,35.00000000000014,57.0
114,34.90000000000014,57.5
115,34.90000000000014,58.0
116,34.80000000000014,58.5
117,34.70000000000014,59.0
118,34.600000000000136,59.5
119,34.500000000000135,60.0
120,34.400000000000134,60.5
121,34.400000000000134,61.0
122,34.30000000000013,61.5
123,34.20000000000013,62.0
124,34.10000000000013,62.5
125,34.00000000000013,63.0
126,34.00000000000013,63.5
127,33.90000000000013,64.0
128,33.800000000000125,64.5
129,33.700000000000124,65.0
130,33.700000000000124,65.5
131,33.60000000000012,66.0
132,33.50000000000012,66.5
133,33.40000000000012,67.0
134,33.40000000000012,67.5
135,33.30000000000012,68.0
136,33.20000000000012,68.5
137,33.100000000000115,69.0
138,33.100000000000115,69.5
139,33.000000000000114,70.0
140,32.90000000000011,70.5
141,32.90000000000011,71.0
142,32.80000000000011,71.5
143,32.70000000000011,72.0
144,32.60000000000011,72.5
145,32.60000000000011,73.0
146,32.50000000000011,73.5
147,32.400000000000105,74.0
148,32.400000000000105,74.5
149,32.300000000000104,75.0
150,32.2000000000001,75.5
151,32.2000000000001,76.0
152,32.1000000000001,76.5
153,32.0000000000001,77.0
154,32.0000000000001,77.5
155,31.900000000000098,78.0
156,31.800000000000097,78.5
157,31.800000000000097,79.0
158,31.700000000000095,79.5
159,31.600000000000094,80.0
160,31.600000000000094,80.5
161,31.500000000000092,81.0
162,31.500000000000092,81.5
163,31.40000000000009,82.0
164,31.30000000000009,82.5
165,31.30000000000009,83.0
166,31.200000000000088,83.5
167,31.100000000000087,84.0
168,31.100000000000087,84.5
169,31.000000000000085,85.0
170,31.000000000000085,85.5
171,30.900000000000084,86.0
172,30.800000000000082,86.5
173,30.800000000000082,87.0
174,30.70000000000008,87.5
175,30.70000000000008,88.0
176,30.60000000000008,88.5
177,30.500000000000078,89.0
178,30.500000000000078,89.5
179,30.400000000000077,90.0
180,30.400000000000077,90.5
181,30.300000000000075,91.0
182,30.300000000000075,91.5
183,30.200000000000074,92.0
184,30.100000000000072,92.5
185,30.100000000000072,93.0
186,30.00000000000007,93.5
187,30.00000000000007,94.0
188,29.90000000000007,94.5
189,29.90000000000007,95.0
190,29.800000000000068,95.5
191,29.800000000000068,96.0
192,29.700000000000067,96.5
193,29.600000000000065,97.0
194,29.600000000000065,97.5
195,29.500000000000064,98.0
196,29.500000000000064,98.5
197,29.400000000000063,99.0
198,29.400000000000063,99.5
199,29.30000000000006,100.0
