Tair,rh
56.50000000000045,0.5
56.400000000000446,1.0
56.300000000000445,1.5
56.20000000000044,2.0
56.20000000000044,2.5
56.00000000000044,3.0
55.80000000000044,3.5
55.600000000000435,4.0
55.40000000000043,4.5
55.20000000000043,5.0
55.10000000000043,5.5
54.900000000000425,6.0
54.70000000000042,6.5
54.50000000000042,7.0
54.300000000000416,7.5
54.10000000000041,8.0
53.90000000000041,8.5
53.70000000000041,9.0
53.500000000000405,9.5
53.3000000000004,10.0
53.1000000000004,10.5
53.0000000000004,11.0
52.800000000000395,11.5
52.60000000000039,12.0
52.30000000000039,12.5
52.000000000000384,13.0
51.70000000000038,13.5
51.400000000000375,14.0
51.20000000000037,14.5
50.90000000000037,15.0
50.700000000000365,15.5
50.40000000000036,16.0
50.20000000000036,16.5
50.000000000000355,17.0
49.70000000000035,17.5
49.50000000000035,18.0
49.300000000000345,18.5
49.00000000000034,19.0
48.80000000000034,19.5
48.600000000000335,20.0
48.40000000000033,20.5
48.20000000000033,21.0
48.00000000000033,21.5
47.800000000000324,22.0
47.60000000000032,22.5
47.40000000000032,23.0
47.200000000000315,23.5
47.00000000000031,24.0
46.90000000000031,24.5
46.70000000000031,25.0
46.500000000000306,25.5
46.3000000000003,26.0
46.1000000000003,26.5
46.0000000000003,27.0
45.800000000000296,27.5
45.60000000000029,28.0
45.50000000000029,28.5
45.30000000000029,29.0
45.20000000000029,29.5
45.000000000000284,30.0
44.80000000000028,30.5
44.70000000000028,31.0
44.50000000000028,31.5
44.400000000000276,32.0
44.20000000000027,32.5
44.10000000000027,33.0
43.90000000000027,33.5
43.80000000000027,34.0
43.700000000000266,34.5
43.50000000000026,35.0
43.40000000000026,35.5
43.20000000000026,36.0
43.10000000000026,36.5
43.000000000000256,37.0
42.80000000000025,37.5
42.70000000000025,38.0
42.60000000000025,38.5
42.40000000000025,39.0
42.300000000000246,39.5
42.200000000000244,40.0
42.10000000000024,40.5
41.90000000000024,41.0
41.80000000000024,41.5
41.70000000000024,42.0
41.600000000000236,42.5
41.500000000000234,43.0
41.30000000000023,43.5
41.20000000000023,44.0
41.10000000000023,44.5
41.00000000000023,45.0
40.900000000000226,45.5
40.800000000000225,46.0
40.70000000000022,46.5
40.60000000000022,47.0
40.40000000000022,47.5
40.30000000000022,48.0
40.200000000000216,48.5
40.100000000000215,49.0
40.00000000000021,49.5
39.90000000000021,50.0
39.80000000000021,50.5
39.70000000000021,51.0
39.60000000000021,51.5
39.500000000000206,52.0
39.400000000000205,52.5
39.3000000000002,53.0
39.2000000000002,53.5
39.1000000000002,54.0
39.0000000000002,54.5
38.9000000000002,55.0
38.800000000000196,55.5
38.700000000000195,56.0
38.60000000000019,56.5
38.50000000000019,57.0
38.40000000000019,57.5
38.30000000000019,58.0
38.30000000000019,58.5
38.20000000000019,59.0
38.100000000000186,59.5
38.000000000000185,60.0
37.90000000000018,60.5
37.80000000000018,61.0
37.70000000000018,61.5
37.60000000000018,62.0
37.50000000000018,62.5
37.50000000000018,63.0
37.400000000000176,63.5
37.300000000000175,64.0
37.20000000000017,64.5
37.10000000000017,65.0
37.00000000000017,65.5
36.90000000000017,66.0
36.90000000000017,66.5
36.80000000000017,67.0
36.700000000000166,67.5
36.600000000000165,68.0
36.50000000000016,68.5
36.50000000000016,69.0
36.40000000000016,69.5
36.30000000000016,70.0
36.20000000000016,70.5
36.20000000000016,71.0
36.10000000000016,71.5
36.000000000000156,72.0
35.900000000000155,72.5
35.80000000000015,73.0
35.80000000000015,73.5
35.70000000000015,74.0
35.60000000000015,74.5
35.50000000000015,75.0
35.50000000000015,75.5
35.40000000000015,76.0
35.300000000000146,76.5
35.300000000000146,77.0
35.200000000000145,77.5
35.10000000000014,78.0
35.00000000000014,78.5
35.00000000000014,79.0
34.90000000000014,79.5
34.80000000000014,80.0
34.80000000000014,80.5
34.70000000000014,81.0
34.600000000000136,81.5
34.600000000000136,82.0
34.500000000000135,82.5
34.400000000000134,83.0
34.400000000000134,83.5
34.30000000000013,84.0
34.20000000000013,84.5
34.20000000000013,85.0
34.10000000000013,85.5
34.00000000000013,86.0
34.00000000000013,86.5
33.90000000000013,87.0
33.800000000000125,87.5
33.800000000000125,88.0
33.700000000000124,88.5
33.60000000000012,89.0
33.60000000000012,89.5
33.50000000000012,90.0
33.50000000000012,90.5
33.40000000000012,91.0
33.30000000000012,91.5
33.30000000000012,92.0
33.20000000000012,92.5
33.100000000000115,93.0
33.100000000000115,93.5
33.000000000000114,94.0
33.000000000000114,94.5
32.90000000000011,95.0
32.80000000000011,95.5
32.80000000000011,96.0
32.70000000000011,96.5
32.70000000000011,97.0
32.60000000000011,97.5
32.60000000000011,98.0
32.50000000000011,98.5
32.400000000000105,99.0
32.400000000000105,99.5
32.300000000000104,100.0
